trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-107.66911321659275,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-73.65349922812203,"{0: 15, 1: 3, 2: 0, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-49.72130985366789,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,2,-84.75037205037957,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,6,-106.99849334575399,"{0: 9, 1: 0, 2: 8, 3: 2, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-150.92996072528376,"{0: 8, 1: 5, 2: 3, 3: 3, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-44.463273502370846,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-86.79223387678408,"{0: 9, 1: 4, 2: 6, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,7,-25.276257039648133,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-88.39211118361933,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-79.31190920686556,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-92.77408510833234,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-27.202309695822276,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-60.61779985450916,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,12,-1.319828482596281,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,2,-132.77482276270348,"{0: 12, 1: 4, 2: 3, 3: 3, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-67.66456753569236,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-55.358645847323544,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-15.106266558475056,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-53.05916148207,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,0,-56.573062543397384,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,0,-131.93738738376962,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",20,0,-139.58953146171632,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",25,0,-97.77737271239846,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",25,0,-152.94631642543192,"{0: 14, 1: 0, 2: 9, 3: 0, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",20,0,-82.11134375608316,"{0: 10, 1: 2, 2: 8, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,0,-65.52784770884799,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,2,-99.94358386177912,"{0: 9, 1: 2, 2: 6, 3: 0, 4: 1}",1
9,True,"{'a': 0, 'e': 0}",20,0,-35.88359233795033,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",25,0,-94.03026931997353,"{0: 16, 1: 0, 2: 8, 3: 0, 4: 1}",0
