trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 0.9900498337491681}",30,0,-198.5538536757872,"{0: 18, 1: 1, 2: 7, 3: 1, 4: 3}",0
2,False,"{'a': 0.7, 'e': 0.9801986733067553}",30,0,-63.72549153492416,"{0: 20, 1: 3, 2: 7, 3: 0, 4: 0}",0
3,False,"{'a': 0.7, 'e': 0.9704455335485082}",20,0,-93.08986816077785,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
4,False,"{'a': 0.7, 'e': 0.9607894391523232}",25,0,-192.51309796115396,"{0: 14, 1: 2, 2: 4, 3: 2, 4: 3}",0
5,False,"{'a': 0.7, 'e': 0.951229424500714}",25,0,-179.71065884187402,"{0: 17, 1: 0, 2: 4, 3: 0, 4: 4}",0
6,False,"{'a': 0.7, 'e': 0.9417645335842487}",25,0,-130.7215829494199,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
7,False,"{'a': 0.7, 'e': 0.9323938199059483}",20,0,-130.3641965792809,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
8,False,"{'a': 0.7, 'e': 0.9231163463866358}",20,0,-94.75298954277753,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
9,False,"{'a': 0.7, 'e': 0.9139311852712282}",25,0,-67.98030040744484,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.7, 'e': 0.9048374180359595}",30,0,-209.85169526414245,"{0: 16, 1: 4, 2: 5, 3: 2, 4: 3}",0
11,False,"{'a': 0.7, 'e': 0.8958341352965282}",20,6,-18.730470265880676,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 0}",1
12,False,"{'a': 0.7, 'e': 0.8869204367171575}",20,0,-149.57364816264885,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
13,False,"{'a': 0.7, 'e': 0.8780954309205613}",20,0,-121.25287833401974,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
14,False,"{'a': 0.7, 'e': 0.8693582353988059}",35,14,-73.22521349874691,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 2}",1
15,False,"{'a': 0.7, 'e': 0.8607079764250578}",35,0,-290.83114692354553,"{0: 19, 1: 3, 2: 6, 3: 2, 4: 5}",0
16,False,"{'a': 0.7, 'e': 0.8521437889662113}",30,0,-152.94470897295784,"{0: 17, 1: 6, 2: 4, 3: 1, 4: 2}",0
17,False,"{'a': 0.7, 'e': 0.8436648165963837}",25,0,-96.25230361217046,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
18,False,"{'a': 0.7, 'e': 0.835270211411272}",25,0,-190.723755283955,"{0: 10, 1: 6, 2: 5, 3: 2, 4: 2}",0
19,False,"{'a': 0.7, 'e': 0.8269591339433623}",25,1,-36.74151091347106,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 0}",1
20,False,"{'a': 0.7, 'e': 0.8187307530779818}",20,0,-59.4155298190833,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
21,False,"{'a': 0.7, 'e': 0.8105842459701871}",25,0,-3.3862008067494873,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
22,False,"{'a': 0.7, 'e': 0.8025187979624785}",20,12,-56.36527166149184,"{0: 4, 1: 1, 2: 2, 3: 0, 4: 1}",1
23,False,"{'a': 0.7, 'e': 0.794533602503334}",25,0,-264.87764520009983,"{0: 12, 1: 0, 2: 6, 3: 3, 4: 4}",0
24,False,"{'a': 0.7, 'e': 0.7866278610665535}",25,0,-208.7198401877328,"{0: 15, 1: 1, 2: 4, 3: 1, 4: 4}",0
25,False,"{'a': 0.7, 'e': 0.7788007830714049}",30,0,-122.40314005714869,"{0: 18, 1: 3, 2: 7, 3: 1, 4: 1}",0
26,False,"{'a': 0.7, 'e': 0.7710515858035663}",20,0,-58.886826223242295,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
27,False,"{'a': 0.7, 'e': 0.7633794943368531}",20,16,7.054923242851528,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.7, 'e': 0.7557837414557255}",20,0,-87.41220864800798,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
29,False,"{'a': 0.7, 'e': 0.7482635675785653}",20,0,-45.28336268656802,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
30,False,"{'a': 0.7, 'e': 0.7408182206817179}",20,0,-120.29856705695104,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
31,False,"{'a': 0.7, 'e': 0.7334469562242892}",25,0,-36.70402093720205,"{0: 19, 1: 0, 2: 6, 3: 0, 4: 0}",0
32,False,"{'a': 0.7, 'e': 0.7261490370736909}",20,0,-5.474169580698376,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
33,False,"{'a': 0.7, 'e': 0.7189237334319262}",25,0,-78.17614164636015,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
34,False,"{'a': 0.7, 'e': 0.7117703227626097}",25,0,-54.371971142742396,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
35,False,"{'a': 0.7, 'e': 0.7046880897187134}",25,0,-118.38405354353752,"{0: 15, 1: 0, 2: 8, 3: 1, 4: 1}",0
36,False,"{'a': 0.7, 'e': 0.697676326071031}",20,0,-75.65463144239497,"{0: 11, 1: 0, 2: 9, 3: 0, 4: 0}",0
37,False,"{'a': 0.7, 'e': 0.6907343306373547}",20,0,-81.26484840085598,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
38,False,"{'a': 0.7, 'e': 0.6838614092123558}",30,20,-32.995669367980426,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
39,False,"{'a': 0.7, 'e': 0.6770568744981647}",30,19,6.27166779674996,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.7, 'e': 0.6703200460356393}",30,0,-113.14238450555602,"{0: 19, 1: 2, 2: 7, 3: 1, 4: 1}",0
41,False,"{'a': 0.7, 'e': 0.6636502501363194}",25,1,-92.4122465783792,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 2}",1
42,False,"{'a': 0.7, 'e': 0.6570468198150567}",35,9,-72.33702678728463,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 1}",1
43,False,"{'a': 0.7, 'e': 0.6505090947233165}",25,13,-55.59046812650935,"{0: 5, 1: 1, 2: 6, 3: 0, 4: 0}",1
44,False,"{'a': 0.7, 'e': 0.6440364210831414}",25,0,-114.24316477300287,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 2}",0
45,False,"{'a': 0.7, 'e': 0.6376281516217733}",20,4,-11.331074162012499,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 0}",1
46,False,"{'a': 0.7, 'e': 0.631283645506926}",35,18,-77.99785349254545,"{0: 9, 1: 0, 2: 7, 3: 1, 4: 0}",1
47,False,"{'a': 0.7, 'e': 0.6250022682827008}",20,0,-78.96283897104665,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
48,False,"{'a': 0.7, 'e': 0.6187833918061408}",20,13,-13.323798889792206,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
