trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.001, 'e': 0.999000499833375}",20,0,-98.18729637618438,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",0
2,False,"{'a': 0.001, 'e': 0.9980019986673331}",20,0,-106.08237303491335,"{0: 11, 1: 0, 2: 8, 3: 0, 4: 1}",0
3,False,"{'a': 0.001, 'e': 0.997004495503373}",20,0,-76.95356725939085,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
4,False,"{'a': 0.001, 'e': 0.9960079893439915}",20,0,-105.82236967098297,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
5,False,"{'a': 0.001, 'e': 0.9950124791926823}",20,9,-36.40817894747863,"{0: 6, 1: 1, 2: 4, 3: 0, 4: 0}",1
6,False,"{'a': 0.001, 'e': 0.9940179640539353}",20,0,-32.68875297064642,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
7,False,"{'a': 0.001, 'e': 0.9930244429332351}",25,0,-130.5646424927623,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
8,False,"{'a': 0.001, 'e': 0.9920319148370607}",25,0,-52.99122954844078,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
9,False,"{'a': 0.001, 'e': 0.9910403787728836}",25,0,-40.12672857370453,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
10,False,"{'a': 0.001, 'e': 0.9900498337491681}",20,0,-103.6733408870559,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
11,False,"{'a': 0.001, 'e': 0.9890602787753687}",25,0,-181.72290813539473,"{0: 10, 1: 1, 2: 11, 3: 2, 4: 1}",0
12,False,"{'a': 0.001, 'e': 0.9880717128619305}",20,0,-80.8253223691292,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
13,False,"{'a': 0.001, 'e': 0.9870841350202876}",20,0,-26.107500682809572,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
14,False,"{'a': 0.001, 'e': 0.9860975442628619}",20,0,-115.0583188168012,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
15,False,"{'a': 0.001, 'e': 0.9851119396030626}",20,0,-84.46555112256104,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
16,False,"{'a': 0.001, 'e': 0.9841273200552851}",20,0,-95.74445714353381,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
17,False,"{'a': 0.001, 'e': 0.9831436846349096}",20,0,-135.50862515060706,"{0: 8, 1: 3, 2: 7, 3: 1, 4: 1}",0
18,False,"{'a': 0.001, 'e': 0.9821610323583008}",20,0,-49.42436160716293,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
19,False,"{'a': 0.001, 'e': 0.981179362242806}",20,0,-127.91777304614138,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
20,False,"{'a': 0.001, 'e': 0.9801986733067553}",20,6,-80.37309800254926,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 2}",1
21,False,"{'a': 0.001, 'e': 0.9792189645694596}",20,0,-14.79168917983264,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
22,False,"{'a': 0.001, 'e': 0.97824023505121}",20,0,-87.72969395528526,"{0: 9, 1: 5, 2: 5, 3: 1, 4: 0}",0
