trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-101.84602522133896,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-72.26611393253748,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-126.44407190502587,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,11,-60.3426635496867,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 1}",1
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-85.86553137751595,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-64.35839737352205,"{0: 12, 1: 0, 2: 8, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-119.79100063962541,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-42.683169120833924,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-97.70262872632318,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,3,-5.245668935148469,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-54.07630789740804,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-43.10045996140424,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-144.09764310598544,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,18,-7.785978541746348,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-67.19860965317221,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-128.80507969365226,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-44.16990060712444,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-69.01004545617444,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-96.3114626612123,"{0: 17, 1: 0, 2: 7, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,7,10.388349618391807,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-58.68391621609713,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-189.32153131875899,"{0: 10, 1: 4, 2: 8, 3: 1, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,14,-1.9471514908898482,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
4,True,"{'a': 0.5, 'e': 1.0}",20,13,-40.40793296128423,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-131.16127124188958,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,3,-69.3663341717079,"{0: 17, 1: 0, 2: 3, 3: 1, 4: 1}",1
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-112.63957937683374,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-122.97329909562437,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-57.25176614162854,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-24.543470643109774,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
